,lang,text,id,created_at,edit_history_tweet_ids
0,en,Turturing me for yrs to exploit me only by destroying my son isn't coaching. Take your coaching lies to your hell. It's Nazi science to exploit me when I want to die with my sin alone. Fuck you,1577927270463070208,2022-10-06T07:42:32.000Z,['1577927270463070208']
1,en,"Mistress Vin, and key. For that, literature alone avails, humanistic science. https://t.co/Za2ZTjz4W3",1577927237852184577,2022-10-06T07:42:24.000Z,['1577927237852184577']
2,en,"Quoteside  ""Science"" | Albert Einstein revealed facts like this.. https://t.co/NJYsjVXp81 via @YouTube",1577927224568619009,2022-10-06T07:42:21.000Z,['1577927224568619009']
3,en,Full moon 🌕 in 4 days 🚀🚀🚀https://t.co/6Y9odeViYT,1577927195598520320,2022-10-06T07:42:14.000Z,['1577927195598520320']
4,en,"@morethanmySLE huh not peep 

https://t.co/Nqva17i9li",1577927195074637824,2022-10-06T07:42:14.000Z,['1577927195074637824']
5,en,"It's either reducing energy bills or net zero, highly difficult to achieve both short term. New oil and gas at odds with green goals - report. #ClimateCrisis #EnergyCrisis #GBNews #GMB #BBCBreakfast 
https://t.co/gdgknamjFw",1577927195036721156,2022-10-06T07:42:14.000Z,['1577927195036721156']
6,en,"#FEATURED #COURSES

Machine Learning, Data Science and Deep Learning with Python

Complete hands-on #machine #learning tutorial with #data #science, #Tensorflow, #artificial #intelligence, and neural networks

https://t.co/PaHDf4fIL2

#python #100daysofcode #coding #udemy https://t.co/mwArbSh8eW",1577927192956248065,2022-10-06T07:42:13.000Z,['1577927192956248065']
7,en,"@SarahTheHaider I thought fascism was a totalitarian ideology, thus aiming at conformity and uniformity. I thiught fascism was an enemy of individual development. But I guess all my political science studies were wrong and this genius is right.",1577927191534485504,2022-10-06T07:42:13.000Z,['1577927191534485504']
8,en,"I wonder how so many idiots have enough self confidence that they border on arrogant, while those of us who read the science spend hours questioning ourselves?",1577927178125283328,2022-10-06T07:42:10.000Z,['1577927178125283328']
9,en,"@taresamler That's all very true. A true scientist should know that his answers will never be ultimate, but alas a large amount of people do not truly follow the scientific principles, and use it merely as an excuse or means to an end, when science itself ought to be unbiased and open minded",1577927176074166272,2022-10-06T07:42:09.000Z,['1577927176074166272']
