,Screen name,Description,Total retweets,Total favorite,Average retweets,Average Favorites,Median retweets,Median favorites,stdev retweets,stdev favorites
0,reecerosalie,,396,0,19.8,0.0,0.0,0.0,21.88972361634564,0.0
1,AlanGrofield2,Bio,17,1636,0.85,81.8,0.0,2.5,3.4824560298731697,327.24159271095107
2,Tuytmin16969640,,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,edmondchang,"Teacher. Writer. Gamer. Assistant Professor of English at Ohio University.  Scholar of literature, games, & pop culture. Author of Tellings RPG & Archaea LARP.",35,17,1.75,0.85,0.0,0.0,7.401857874885197,1.1521718621802912
4,GaryRitchison,,1,0,0.05,0.0,0.0,0.0,0.21794494717703364,0.0
5,Xeno_lith,"Mother, Wife, Geologist, Earth Scientist, Environmentalist, Feminist, & Educator.  NAGT-TED Past President, 2009 OEST Recipient.  BS Geology, MS Env. Geoscience",38,21,1.9,1.05,0.0,0.5,4.504442251822083,1.9868316486305524
6,UnearthlyEar,"purpose: to help open minds and free them from the darkness and lies. ---
Think for yourself. Your brain is your own, for now.",0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,tkdutta5,doctorate of oriental studies.spiritual advisor.astrologist.,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,Heartleyhearts,,405,0,20.25,0.0,0.0,0.0,22.38721733489895,0.0
9,umairah_sofea,"#pray for mh370  
please come back",405,0,20.25,0.0,0.0,0.0,22.38721733489895,0.0
